category,link,listed,name,price
Scotch Whisky,https://www.whiskyshop.com/laphroaig-16-year-old,https://www.whiskyshop.com/scotch-whisky,Laphroaig 16 Year Old ,89.00
Scotch Whisky,https://www.whiskyshop.com/balblair-2006-78-the-w-club-exclusive,https://www.whiskyshop.com/scotch-whisky,Balblair 2006 #78,185.00
Scotch Whisky,https://www.whiskyshop.com/gordon-macphail-smith-s-glenlivet-1974-34-years-old,https://www.whiskyshop.com/scotch-whisky,Gordon & MacPhail Smith's Glenlivet 1974 34 Years Old,650.00
Scotch Whisky,https://www.whiskyshop.com/fettercairn-16-year-old-1st-release,https://www.whiskyshop.com/scotch-whisky,Fettercairn 16 Year Old 1st Release 2020 1 litre,100.00
Scotch Whisky,https://www.whiskyshop.com/macphail-s-21-year-old-gordon-macphail,https://www.whiskyshop.com/scotch-whisky,MacPhail's 21 Year Old Gordon & MacPhail,125.00
Scotch Whisky,https://www.whiskyshop.com/glenlivet-1979-39-year-old-cask-19236-g-m-archive,https://www.whiskyshop.com/scotch-whisky,Glenlivet 1979 39 Year Old Gordon & MacPhail Archive,"1,149.00"
Scotch Whisky,https://www.whiskyshop.com/gordon-macphail-glen-grant-1966-45-year-old,https://www.whiskyshop.com/scotch-whisky,Gordon & Macphail Glen Grant 1966 45 Year Old,780.00
Scotch Whisky,https://www.whiskyshop.com/gordon-macphail-glen-grant-1962-43-year-old-sherry-cask,https://www.whiskyshop.com/scotch-whisky,Gordon & Macphail Glen Grant 1962 43 Year Old Sherry Cask,"1,499.00"
Scotch Whisky,https://www.whiskyshop.com/linkwood-1966-private-collection,https://www.whiskyshop.com/scotch-whisky,Linkwood 1966 Private Collection,"6,500.00"
Scotch Whisky,https://www.whiskyshop.com/old-pulteney-1982-private-collection,https://www.whiskyshop.com/scotch-whisky,Old Pulteney 1982 Private Collection,"1,200.00"
Scotch Whisky,https://www.whiskyshop.com/glen-moray-warehouse-1-tokaji-finish,https://www.whiskyshop.com/scotch-whisky,Glen Moray Warehouse 1 Tokaji Finish,74.95
Scotch Whisky,https://www.whiskyshop.com/glen-scotia-dunnage-tasting-pack,https://www.whiskyshop.com/scotch-whisky,Glen Scotia Dunnage Tasting Pack,50.00
Scotch Whisky,https://www.whiskyshop.com/laphroaig-15-year-old-2004-the-character-of-islay-whisky-company,https://www.whiskyshop.com/scotch-whisky,Laphroaig 15 Year Old 2005 The Character of Islay Whisky Company,264.95
Scotch Whisky,https://www.whiskyshop.com/invergordon-50-year-old-that-boutique-y-whisky-company,https://www.whiskyshop.com/scotch-whisky,Invergordon 50 Year Old That Boutique-y Whisky Company,349.95
Scotch Whisky,https://www.whiskyshop.com/highland-single-malt-1-42-year-old-that-boutique-y-whisky-company,https://www.whiskyshop.com/scotch-whisky,Highland Single Malt #1 42 Year Old That Boutique-y Whisky Company,399.95
Scotch Whisky,https://www.whiskyshop.com/green-isle,https://www.whiskyshop.com/scotch-whisky,Green Isle,29.95
Scotch Whisky,https://www.whiskyshop.com/grace-ile-25-year-old-the-character-of-islay-whisky-company,https://www.whiskyshop.com/scotch-whisky,Grace Ile 25 Year Old The Character of Islay Whisky Company,299.95
Scotch Whisky,https://www.whiskyshop.com/fiona-macleod-33-year-old-the-character-of-islay-whisky-company,https://www.whiskyshop.com/scotch-whisky,Fiona Macleod 33 Year Old The Character of Islay Whisky Company ,399.95
Scotch Whisky,https://www.whiskyshop.com/darkness-inchfad-13-year-old-pedro-ximinez-cask,https://www.whiskyshop.com/scotch-whisky,Darkness Inchfad 13 Year Old Pedro Ximénez Cask,64.95
Scotch Whisky,https://www.whiskyshop.com/darkness-glen-elgin-12-year-old-moscatel-cask,https://www.whiskyshop.com/scotch-whisky,Darkness Glen Elgin 12 Year Old Moscatel Cask,64.95
Scotch Whisky,https://www.whiskyshop.com/darkness-dalmore-14-year-old-oloroso-cask,https://www.whiskyshop.com/scotch-whisky,Darkness Dalmore 14 Year Old Oloroso Cask,128.95
Scotch Whisky,https://www.whiskyshop.com/darkness-caperdonich-24-year-old-pedro-ximinez-cask,https://www.whiskyshop.com/scotch-whisky,Darkness Caperdonich 24 Year Old Pedro Ximinez Cask,335.95
Scotch Whisky,https://www.whiskyshop.com/darkness-balmenach-18-year-old-moscatel-cask,https://www.whiskyshop.com/scotch-whisky,Darkness Balmenach 18 Year Old Moscatel Cask,89.95
Scotch Whisky,https://www.whiskyshop.com/darkness-auchroisk-21-year-old-moscatel-cask,https://www.whiskyshop.com/scotch-whisky,Darkness Auchroisk 21 Year Old Moscatel Cask ,119.95
Scotch Whisky,https://www.whiskyshop.com/rare-find-speyside-1982-39-year-old,https://www.whiskyshop.com/scotch-whisky,Rare Find Speyside 1982 39 Year Old,385.00
Scotch Whisky,https://www.whiskyshop.com/port-charlotte-pac-01-2001,https://www.whiskyshop.com/scotch-whisky,Port Charlotte Pac: 01 2011,90.00
Scotch Whisky,https://www.whiskyshop.com/glenmorangie-grand-vintage-malt-1993,https://www.whiskyshop.com/scotch-whisky,Glenmorangie Grand Vintage Malt 1993,650.00
Scotch Whisky,https://www.whiskyshop.com/laphroaig-10-year-old-cask-strength-2021,https://www.whiskyshop.com/scotch-whisky,Laphroaig 10 Year Old Cask Strength 2021 Batch 13,74.00
Scotch Whisky,https://www.whiskyshop.com/personalised-famous-grouse,https://www.whiskyshop.com/scotch-whisky,Personalised Famous Grouse,25.00
Scotch Whisky,https://www.whiskyshop.com/aerstone-10-year-old-land-cask,https://www.whiskyshop.com/scotch-whisky,Aerstone 10 Year Old Land Cask,30.00
Scotch Whisky,https://www.whiskyshop.com/aerstone-10-year-old-sea-cask,https://www.whiskyshop.com/scotch-whisky,Aerstone 10 Year Old Sea Cask ,30.00
Scotch Whisky,https://www.whiskyshop.com/linkwood-12-year-old-flora-and-fauna,https://www.whiskyshop.com/scotch-whisky,Linkwood 12 year old Flora and Fauna,48.00
Scotch Whisky,https://www.whiskyshop.com/talisker-43-year-old-xpedition-oak,https://www.whiskyshop.com/scotch-whisky,Talisker 43 Year Old Xpedition Oak,"3,500.00"
Scotch Whisky,https://www.whiskyshop.com/arran-1996-736-the-whisky-shop-exclusive,https://www.whiskyshop.com/scotch-whisky,Arran 1996 TWS Exclusive Single Cask #736,
Scotch Whisky,https://www.whiskyshop.com/laphroaig-10-year-old-sherry-oak,https://www.whiskyshop.com/scotch-whisky,Laphroaig 10 Year Old Sherry Oak Finish,65.00
Scotch Whisky,https://www.whiskyshop.com/kingsbarns-balcomie,https://www.whiskyshop.com/scotch-whisky,Kingsbarns Balcomie,49.95
Scotch Whisky,https://www.whiskyshop.com/kilchoman-2012-sherry-cask-the-w-club-exclusive,https://www.whiskyshop.com/scotch-whisky,Kilchoman 2012 Sherry Cask The W Club Exclusive,110.00
Scotch Whisky,https://www.whiskyshop.com/glenturret-30-year-old,https://www.whiskyshop.com/scotch-whisky,Glenturret 30 Year Old,"1,500.00"
Scotch Whisky,https://www.whiskyshop.com/glenturret-12-year-old,https://www.whiskyshop.com/scotch-whisky,Glenturret 12 Year Old,64.95
Scotch Whisky,https://www.whiskyshop.com/caol-ila-35-year-old-golden-cask,https://www.whiskyshop.com/scotch-whisky,Golden Cask Caol Ila 35 Year Old,650.00
Scotch Whisky,https://www.whiskyshop.com/longmorn-1987-33-year-old-connoisseurs-choice,https://www.whiskyshop.com/scotch-whisky,Longmorn 1987 33 Year Old Connoisseurs Choice,840.00
Scotch Whisky,https://www.whiskyshop.com/balmenach-1987-32-year-old-connoisseurs-choice,https://www.whiskyshop.com/scotch-whisky,Balmenach 1987 32 Year Old Connoisseurs Choice,495.00
Scotch Whisky,https://www.whiskyshop.com/strathisla-1987-33-year-old-connoisseurs-choice,https://www.whiskyshop.com/scotch-whisky,Strathisla 1987 33 Year Old Connoisseurs Choice,750.00
Scotch Whisky,https://www.whiskyshop.com/benrinnes-1990-30-year-old-connoisseurs-choice,https://www.whiskyshop.com/scotch-whisky,Benrinnes 1990 30 Year Old Connoisseurs Choice,495.00
Scotch Whisky,https://www.whiskyshop.com/littlemill-testament-1976,https://www.whiskyshop.com/scotch-whisky,Littlemill Testament 1976,"7,999.00"
Scotch Whisky,https://www.whiskyshop.com/glenfiddich-grande-couronne-26-year-old,https://www.whiskyshop.com/scotch-whisky,Glenfiddich Grande Couronne 26 Year Old,450.00
Scotch Whisky,https://www.whiskyshop.com/benriach-21-year-old-the-twenty-one,https://www.whiskyshop.com/scotch-whisky,Benriach 21 Year Old The Twenty One,145.00
Spirits,https://www.whiskyshop.com/roku-gin-gift-carton,https://www.whiskyshop.com/spirits,Roku Gin with Gift Carton ,35.00
Spirits,https://www.whiskyshop.com/tobermory-hebridean-gin,https://www.whiskyshop.com/spirits,Tobermory Hebridean Gin,37.00
Spirits,https://www.whiskyshop.com/the-botanist-planter-gift-set,https://www.whiskyshop.com/spirits,The Botanist Planter Gift Set,
Spirits,https://www.whiskyshop.com/silent-pool-gin-gift-pack,https://www.whiskyshop.com/spirits,Silent Pool Gin Gift Pack,67.00
